dispesas;jan/26;fev/26;mar/26;abr/26;mai/26;jun/26;jul/26;ago/26;set/26;out/26;nov/26;dez/26
casa; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 ; R$ 660,00 
carro; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 ; R$ 1.080,00 
agua; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 ; R$ 60,00 
luz; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 ; R$ 250,00 
internet; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00 ; R$ 120,00  
combustivel; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00 ; R$ 300,00  
emprestimo; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ 649,00 ; R$ -   ; R$ -   ; R$ -   ; R$ -    
magazine luiza; R$ 150,00 ; R$ 150,00 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   
vivo; R$ 40,00 ; R$ 40,00 ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -   ; R$ -    
cartao; R$ 1.573,08 ; R$ 1.434,20 ; R$ 1.294,20 ; R$ 1.233,20 ; R$ 1.233,20 ; R$ 1.013,24 ; R$ 993,54 ; R$ 786,33 ; R$ 786,33 ; R$ 73,90 ; R$ 73,90 ; R$ -   
total de ganhos; R$ 4.662,00 ; R$ 4.508,00 ; R$ 4.508,00 ; R$ 4.508,00 ; R$ 4.508,00 ; R$ 4.298,00 ; R$ 4.298,00 ; R$ 4.298,00 ; R$ 3.933,00 ; R$ 3.933,00 ; R$ 3.933,00 ; R$ 3.933,00 

